Spare2, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Aggregation (Plan1)
SP23S38, SP23, 专线号08523062土城九层3机房_首体南路1号主楼4M SDH以太网专线(搜狐微博实名身份认证), false, store, false, DGPT接口, , , , unspecified, +
SP23S61, SP23, 陕西西安电信, false, store, false, DGPT接口, , , , unspecified, +
SP23S69, SP23, 光10733 联通北显_北京联通土城, false, store, false, DGPT接口, , , , unspecified, +
SP23S70, SP23, 北京电信兆维三层_上海电信南汇2.5G长途数字电路, false, store, false, DGPT接口, , , , unspecified, +
SP23S83, SP23, 光12614 搜狐媒体大厦_联通皂君庙互联光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S84, SP23, 光12615 搜狐媒体大厦_北京联通北显IDC一对互联光纤, false, store, false, DGPT接口, , , , unspecified, +
SP23S89, SP23, 搜狐媒体大厦至广州分公司10M网络专线(弃用), false, store, false, , , , , unspecified, +
SP23S163, SP23, 快网CDN, false, store, false, DGPT接口, , , , unspecified, +
SP23S166, SP23, 融科C19F-融科C20F裸纤, false, store, false, DGPT接口, , , , unspecified, +
SP24, Spare2, 广告收入汇总, false, store, false, , , , , unspecified, ~
SP2401, SP24, 品牌广告, false, store, false, , , , , unspecified, +
SP2402, SP24, 中长尾-精准CPC, false, store, false, , , , , unspecified, +
SP2403, SP24, 中长尾-其他, false, store, false, , , , , unspecified, +
SP23Bak, Spare2, 节点备份, false, store, false, , , , , unspecified, +
SP23S13Old, SP23Bak, 北京电信兆维二层_一期Old, false, store, false, , , , , unspecified, +
SP23S14Old, SP23Bak, 北京电信兆维三层_一期Old, false, store, false, , , , , unspecified, +
SP23S15Old, SP23Bak, 北京电信兆维三层_二期Old, false, store, false, , , , , unspecified, +
SP23S04Old, SP23Bak, 北京联通土城六层Old, false, store, false, , , , , unspecified, +
SP23S79Old, SP23Bak, 海外机房_4KVAOld, false, store, false, , , , , unspecified, +
SP23S118Old, SP23Bak, 上海南汇机房_云景Old, false, store, false, , , , , unspecified, +
SP23S119Old, SP23Bak, 北美网宿（海外CDN加速服务）Old, false, store, false, , , , , unspecified, +
SP23S25Old, SP23Bak, 北京联通皂君庙to兆维_土城to兆维Old, false, store, false, , , , , unspecified, +
SP23S26Old, SP23Bak, 北京联通土城9F_搜狐大厦Old, false, store, false, , , , , unspecified, +
SP23S34Old, SP23Bak, 北京联通皂君庙_兆维Old, false, store, false, , , , , unspecified, +
SP23S38Old, SP23Bak, 北京联通土城9F3机房到首体南路1号主楼1F机房Old, false, store, false, , , , , unspecified, +
SP23S69Old, SP23Bak, 北京联通_北显IDC皂君庙IDC和北显IDC土城IDCOld, false, store, false, , , , , unspecified, +
SP23S43Old, SP23Bak, 上海电信到上海南汇Old, false, store, false, , , , , unspecified, +
SP23S45Old, SP23Bak, 武汉办公区互联线路Old, false, store, false, , , , , unspecified, +
SP23S47Old, SP23Bak, 北京物业公司同方D座办公区_搜狐大厦Old, false, store, false, , , , , unspecified, +
SP23S83Old, SP23Bak, 搜狐媒体大厦至北京联通皂君庙IDC一对互联光纤Old, false, store, false, , , , , unspecified, +
SP23S84Old, SP23Bak, 搜狐媒体大厦至北京联通北显IDC一对互联光纤Old, false, store, false, , , , , unspecified, +
SP23S91Old, SP23Bak, 搜狐媒体大厦至北京联通土城IDC一对互联光纤Old, false, store, false, , , , , unspecified, +
SP23S107Old, SP23Bak, 北京移动丰台_搜狐媒体大厦Old, false, store, false, , , , , unspecified, +
SP23S108Old, SP23Bak, 融科C_搜狐网络大厦Old, false, store, false, , , , , unspecified, +
SP23S109Old, SP23Bak, 融科C座南楼办公区建设-物业光纤管井占用Old, false, store, false, , , , , unspecified, +
SP23S111Old, SP23Bak, 上海办公区_南汇IDC和桂桥IDCOld, false, store, false, , , , , unspecified, +
SP23S112Old, SP23Bak, 广州东莞联通（科学城）Old, false, store, false, , , , , unspecified, +
SP23S125Old, SP23Bak, 北京移动菜市口(Wirless)Old, false, store, false, , , , , unspecified, +
SP23S127Old, SP23Bak, 上海电信（桂桥）云景Old, false, store, false, , , , , unspecified, +
SP23S128Old, SP23Bak, 网宿科技CDN加速Old, false, store, false, , , , , unspecified, +
SP23S129Old, SP23Bak, 土城九层_搜狐网络大厦Old, false, store, false, , , , , unspecified, +
SP23S130Old, SP23Bak, SohuHP _北京移动菜市口Old, false, store, false, , , , , unspecified, +
SP23S141Old, SP23Bak, 广州联通机房至广州Office裸光租用费用（静态内容）Old, false, store, false, , , , , unspecified, +
SP23S143Old, SP23Bak, 北京电信兆维VIP11机房至广州电信人民中路机房Old, false, store, false, , , , , unspecified, +
