Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
AVD1030502030202, AVD10305020302, 频道项目_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10305020303, AVD103050203, 内容其他部分, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030502030301, AVD10305020303, 内容其他部分_committed, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030502030302, AVD10305020303, 内容其他部分_uncommitted, false, store, false, , , "DGPT, AE1700_Budget", , currency, expense, flow, none, none, expense, Plan1, true, +
AVD103050204, AVD10305, 付费内容, false, store, false, , , AE2602, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD103050205, AVD10305, PGC, false, store, false, , , AE2602, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD1030598, AVD10305, 内容采购费用_VAT抵减, false, store, false, , , AE1789, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030599, AVD10305, 内容采购费用_整体调整, false, store, false, , , AE1700_Eli, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10306, AVD103, 通讯费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030601, AVD10306, 带宽费用, false, store, false, , , AE2502, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030602, AVD10306, 电话费用, false, store, false, , , AE2501, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10307, AVD103, 坏账费用, false, store, false, , , AE2000, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10308, AVD103, 折旧费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030801, AVD10308, 员工类折旧费用, false, store, false, , , AE2100_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030802, AVD10308, 服务器类折旧费用, false, store, false, , , AE2604, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1030803, AVD10308, 软件类折旧费用, false, store, false, , , AE2204, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10310, AVD103, 办公费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1031001, AVD10310, 版权登记费, false, store, false, , , AE1900_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1031002, AVD10310, 其他办公费用, false, store, false, , , AE1900_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1031098, AVD10310, 办公费用_VAT抵减, false, store, false, , , AE1989, , unspecified, expense, flow, none, none, expense, Plan1, true, +
AVD10311, AVD103, 公摊费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1031101, AVD10311, 公司分摊公摊费用, false, store, false, , , AE2601, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD1031102, AVD10311, 部门自有公摊费用, false, store, false, , , AE1800_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD10314, AVD103, Back office费用分摊, false, store, false, , , AE2602, , currency, expense, flow, none, none, expense, Plan1, true, +
AVD104, AVD1, 其他费用, false, store, false, , , A81200, , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, -
AVD2, Account, Capex工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD201, AVD2, 采购金额, false, store, false, , , "DGPT, AFN41", , currency, asset, flow, none, none, non-expense, Plan1, true, +
AVD202, AVD2, 到货金额, false, store, false, , , "DGPT, AFN42", , currency, asset, flow, none, none, non-expense, Plan1, true, +
AVD3, Account, HC预算, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD301, AVD3, 可招人数预算, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD30102, AVD301, 新增可招人数, false, store, false, , , AFN50102, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD3010, AVD301, 期末可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD30101, AVD3010, 期末全职可招人数, false, store, false, , , AFN50101, , non-currency, saved assumption, balance, none, none, non-expense, Plan1, true, +
AVD30103, AVD3010, 期末兼职可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD302, AVD3, 期末到岗, false, store, false, , , , , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, ~
AVD30201, AVD302, 期末全职到岗, false, store, false, , , AFN50201, , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
AVD30202, AVD302, 期末兼职到岗, false, store, false, , , AFN50202, , non-currency, saved assumption, balance, missing, none, non-expense, Plan1, true, +
AVD303, AVD3, 新增到岗, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD30301, AVD303, 新增全职到岗, false, store, false, , , AFN50301, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD30302, AVD303, 新增兼职到岗, false, store, false, , , AFN50302, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4, Account, 辅助编制科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD401, AVD4, 人员费用工作科目, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40101, AVD401, 月度到岗比率, false, store, false, , , , , percentage, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40102, AVD401, Special说明, false, store, false, , , , , text, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD40103, AVD401, 基本工资合计, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010301, AVD40103, 基本工资_员工, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD401030101, AVD4010301, 基本工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD401030102, AVD4010301, 基本工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4010302, AVD40103, 高管工资, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD40104, AVD401, 奖金合计, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010401, AVD40104, 奖金_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD4010402, AVD40104, 高管奖金, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD40105, AVD401, Assumption, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD4010501, AVD40105, 平均工资, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
AVD401050101, AVD4010501, 平均工资_全职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
AVD401050102, AVD4010501, 平均工资_兼职, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
