Account, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, UDA, Smart List, Data Type, Account Type, Time Balance, Skip Value, Exchange Rate Type, Variance Reporting, Source Plan Type, Plan Type (Plan1), Aggregation (Plan1)
ASH10310, ASH10317, 办公费用, false, store, false, , , AE1900_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031001, ASH10317, 办公费用_VAT抵减, false, store, false, , , AE1989, , unspecified, expense, flow, none, none, expense, Plan1, true, +
ASH10311, ASH103, 公摊费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031101, ASH10311, 公司分摊公摊费用, false, store, false, , , AE2601, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031102, ASH10311, 部门自有公摊费用, false, store, false, , , AE1800_Budget, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031103, ASH10311, 其他分摊公摊费用, false, store, false, , , "DGPT, AE2601", , unspecified, expense, flow, none, none, expense, Plan1, true, +
ASH10312, ASH103, 培训费用, false, store, false, , , , , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031201, ASH10312, 员工, false, store, false, , , "DGPT, AE1401", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH1031202, ASH10312, 高管, false, store, false, , , "DGPT, AE1401", , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10313, ASH103, 销售费用分摊, false, store, false, , , AE2602, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10314, ASH103, Back office费用分摊, false, store, false, , , AE2602, , currency, expense, flow, none, none, expense, Plan1, true, +
ASH10315, ASH103, Intangible Assets Impairment, false, store, false, , , AE2700, , currency, expense, flow, none, none, expense, Plan1, true, -
ASH10316, ASH103, Goodwill Impairment, false, store, false, , , AE2800, , currency, expense, flow, none, none, expense, Plan1, true, -
ASH2, Account, Capex工作科目, false, store, false, , , , , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH201, ASH2, 采购金额, false, store, false, , , "DGPT, AFN41", , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH202, ASH2, 到货金额, false, store, false, , , "DGPT, AFN42", , currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH3, Account, HC预算, false, store, false, , , , , unspecified, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH301, ASH3, 可招人数预算, false, label only, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH30102, ASH301, 新增可招人数, false, store, false, , , AFN50102, , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, ~
ASH3010, ASH301, 期末可招人数, false, store, false, , , , , non-currency, saved assumption, flow, none, none, non-expense, Plan1, true, +
ASH30101, ASH3010, 期末全职可招人数, false, store, false, , , AFN50101, , non-currency, saved assumption, balance, none, none, non-expense, Plan1, true, +
